                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1491,                0.84221,                 1.0533,                0.92047,                0.56516,                0.75071,                0.57592,                 1.2387,                0.89086,                 1.0943,               0.006733,               0.006733,               0.006733
                     68,                 1.1535,                0.84394,                 1.0538,                0.91846,                0.56997,                0.75313,                0.57809,                 1.2337,                0.89427,                 1.0925,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1464,                0.83837,                 1.0492,                0.91664,                0.56947,                0.75203,                0.57466,                 1.2376,                0.89666,                 1.0924,               0.006634,               0.006634,               0.006634
                     70,                 1.1478,                0.83879,                 1.0496,                0.91722,                0.57301,                0.75489,                0.57776,                  1.237,                0.89849,                 1.0919,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1473,                0.84054,                 1.0496,                 0.9204,                0.57506,                0.75647,                0.57895,                 1.2377,                0.89318,                 1.0908,               0.006535,               0.006535,               0.006535
                     72,                 1.1478,                0.83506,                 1.0482,                0.91965,                 0.5733,                0.75483,                0.57839,                 1.2346,                0.89263,                 1.0911,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1439,                0.83407,                 1.0479,                0.92263,                0.57068,                0.75456,                0.57796,                 1.2346,                0.88884,                 1.0901,               0.006436,               0.006436,               0.006436
                     74,                 1.1417,                0.83025,                 1.0471,                0.91835,                0.57507,                 0.7552,                0.57963,                 1.2313,                0.89005,                 1.0892,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1412,                0.82999,                 1.0463,                0.91887,                 0.5775,                0.75644,                0.58084,                 1.2323,                0.89371,                 1.0878,               0.006337,               0.006337,               0.006337
                     76,                 1.1413,                0.82969,                 1.0477,                0.92213,                0.57848,                0.75818,                0.58148,                 1.2349,                0.88607,                   1.09,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1347,                0.82211,                 1.0439,                 0.9184,                0.57925,                0.75795,                0.58084,                 1.2328,                0.88593,                 1.0887,               0.006238,               0.006238,               0.006238
                     78,                  1.133,                0.82249,                 1.0448,                0.92003,                0.58139,                0.75941,                0.58221,                 1.2318,                0.88258,                 1.0901,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1364,                0.82533,                 1.0446,                0.92216,                0.58104,                0.75962,                0.58141,                 1.2349,                0.88468,                 1.0902,               0.006139,               0.006139,               0.006139
                     80,                 1.1378,                0.82435,                 1.0446,                0.92069,                0.58075,                0.75927,                 0.5824,                  1.231,                0.88485,                  1.089,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1317,                0.82001,                 1.0438,                0.91858,                0.58442,                0.76057,                0.58216,                 1.2289,                0.88256,                 1.0882,                0.00604,                0.00604,                0.00604
                     82,                 1.1358,                0.82078,                 1.0422,                0.91701,                0.58485,                0.76108,                0.58274,                 1.2278,                0.88167,                 1.0895,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1321,                0.81888,                 1.0432,                0.91734,                0.58353,                0.76081,                0.58272,                 1.2282,                0.88089,                 1.0885,               0.005941,               0.005941,               0.005941
                     84,                 1.1318,                0.81662,                 1.0411,                0.91735,                0.58623,                0.76201,                0.58394,                 1.2267,                 0.8779,                 1.0865,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1285,                0.81514,                 1.0428,                 0.9169,                0.58664,                0.76173,                  0.584,                 1.2266,                0.87871,                 1.0864,               0.005842,               0.005842,               0.005842
                     86,                 1.1272,                0.81306,                 1.0418,                0.91632,                0.58543,                0.76101,                0.58457,                 1.2263,                0.87613,                 1.0871,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1287,                 0.8145,                 1.0387,                 0.9159,                0.58541,                0.76086,                0.58387,                 1.2291,                0.87825,                 1.0879,               0.005743,               0.005743,               0.005743
                     88,                 1.1268,                0.80991,                 1.0393,                0.91788,                  0.587,                0.76259,                0.58436,                 1.2268,                0.87707,                 1.0865,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1284,                0.81107,                 1.0391,                0.91945,                0.58752,                0.76325,                0.58437,                 1.2272,                0.87592,                 1.0871,               0.005644,               0.005644,               0.005644
                     90,                 1.1241,                0.81182,                 1.0411,                0.91887,                0.58928,                0.76384,                0.58524,                 1.2246,                0.87493,                 1.0865,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1205,                0.80532,                 1.0371,                0.91655,                0.59045,                0.76396,                0.58611,                 1.2232,                0.87478,                 1.0858,               0.005545,               0.005545,               0.005545
                     92,                 1.1246,                0.80477,                 1.0382,                0.91495,                0.59088,                0.76373,                 0.5858,                 1.2234,                0.87414,                 1.0852,              0.0054955,              0.0054955,              0.0054955
                     93,                  1.126,                0.80497,                 1.0382,                0.91408,                 0.5902,                0.76288,                0.58497,                 1.2226,                0.87229,                 1.0843,               0.005446,               0.005446,               0.005446
                     94,                 1.1214,                0.80573,                 1.0366,                0.91636,                0.59282,                0.76406,                0.58581,                 1.2209,                0.87165,                 1.0836,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1165,                0.80112,                 1.0364,                0.91688,                0.59217,                0.76416,                0.58613,                 1.2212,                0.87038,                 1.0834,               0.005347,               0.005347,               0.005347
                     96,                  1.117,                0.79937,                 1.0357,                0.91726,                0.59417,                 0.7652,                0.58734,                 1.2219,                0.87056,                 1.0842,              0.0052975,              0.0052975,              0.0052975
                     97,                  1.114,                0.79783,                  1.035,                0.91727,                0.59603,                0.76633,                0.58805,                 1.2216,                0.87026,                 1.0842,               0.005248,               0.005248,               0.005248
                     98,                 1.1162,                0.79936,                 1.0348,                0.91661,                0.59836,                0.76727,                0.58814,                 1.2217,                0.87111,                 1.0842,              0.0051985,              0.0051985,              0.0051985
                     99,                  1.118,                0.80128,                 1.0353,                0.91632,                0.59805,                0.76684,                0.58812,                 1.2214,                0.87072,                 1.0842,               0.005149,               0.005149,               0.005149
                    100,                 1.1138,                0.79933,                 1.0351,                0.91474,                0.59856,                0.76651,                0.58817,                 1.2212,                0.87049,                 1.0838,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1152,                0.79621,                 1.0329,                0.91522,                0.59742,                0.76648,                  0.588,                 1.2219,                0.86944,                 1.0841,                0.00505,                0.00505,                0.00505
                    102,                 1.1107,                 0.7916,                 1.0328,                 0.9136,                0.59886,                0.76728,                0.58842,                  1.221,                0.86816,                 1.0837,              0.0050005,              0.0050005,              0.0050005
                    103,                  1.109,                0.79053,                 1.0331,                0.91302,                0.59802,                0.76688,                0.58814,                 1.2217,                 0.8681,                  1.084,               0.004951,               0.004951,               0.004951
                    104,                 1.1113,                0.79304,                 1.0324,                0.91509,                0.59766,                0.76705,                0.58892,                  1.221,                0.86775,                  1.084,              0.0049015,              0.0049015,              0.0049015
